phase,url,title,title_length,duplicate_title,meta_description,description_length,duplicate_description,h1,h1_count,canonical,lang,og_title,og_description,og_url,og_image,twitter_card,author,issues
after,https://docs.kujolang.ai/,Kujo Docs,9,no,"The shortest path from language basics to reviewable, local-first software.",75,no,Kujo Docs,1,https://docs.kujolang.ai/,en,Kujo Docs,"The shortest path from language basics to reviewable, local-first software.",https://docs.kujolang.ai/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/choose-a-path/,Choose a path | Kujo Docs,25,no,Start with an intent and one small next step instead of browsing the whole ecosystem.,85,no,Choose a path,1,https://docs.kujolang.ai/choose-a-path/,en,Choose a path,Start with an intent and one small next step instead of browsing the whole ecosystem.,https://docs.kujolang.ai/choose-a-path/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/collections/agents/,Agents | Kujo Docs,18,no,"Reusable role contracts, chain of command, and evidence expectations.",69,no,Agents,1,https://docs.kujolang.ai/collections/agents/,en,Agents,"Reusable role contracts, chain of command, and evidence expectations.",https://docs.kujolang.ai/collections/agents/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/collections/benchmarks/,Benchmarks | Kujo Docs,22,no,"Benchmark methodology, fixtures, scorecards, and reproducibility limits.",72,no,Benchmarks,1,https://docs.kujolang.ai/collections/benchmarks/,en,Benchmarks,"Benchmark methodology, fixtures, scorecards, and reproducibility limits.",https://docs.kujolang.ai/collections/benchmarks/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/collections/,Collections | Kujo Docs,23,no,"Browse Kujo workflows, skills, agents, and reproducible benchmarks.",67,no,Collections,1,https://docs.kujolang.ai/collections/,en,Collections,"Browse Kujo workflows, skills, agents, and reproducible benchmarks.",https://docs.kujolang.ai/collections/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/collections/skills/,Skills | Kujo Docs,18,no,"Install, select, and validate Kujo-specific Agent Skills.",57,no,Skills,1,https://docs.kujolang.ai/collections/skills/,en,Skills,"Install, select, and validate Kujo-specific Agent Skills.",https://docs.kujolang.ai/collections/skills/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/collections/workflows/,Workflows | Kujo Docs,21,no,Browse runnable workflow packs and the artifact each workflow leaves behind.,76,no,Workflows,1,https://docs.kujolang.ai/collections/workflows/,en,Workflows,Browse runnable workflow packs and the artifact each workflow leaves behind.,https://docs.kujolang.ai/collections/workflows/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/ecosystem/core-foundation/,Core / Foundation | Kujo Docs,29,no,"The Kujo runtime, package, execution, and collaboration foundation.",67,no,Core / Foundation,1,https://docs.kujolang.ai/ecosystem/core-foundation/,en,Core / Foundation,"The Kujo runtime, package, execution, and collaboration foundation.",https://docs.kujolang.ai/ecosystem/core-foundation/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/ecosystem/,Ecosystem | Kujo Docs,21,no,"Understand the Kujo runtime, providers, primitives, tooling, and showcase ecosystem.",84,no,Kujo ecosystem,1,https://docs.kujolang.ai/ecosystem/,en,Ecosystem,"Understand the Kujo runtime, providers, primitives, tooling, and showcase ecosystem.",https://docs.kujolang.ai/ecosystem/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/ecosystem/primitives/,Primitives | Kujo Docs,22,no,"Reusable contracts for agents, evaluation, retrieval, orchestration, privacy, decisions, boundaries, and supervision.",117,no,Primitives,1,https://docs.kujolang.ai/ecosystem/primitives/,en,Primitives,"Reusable contracts for agents, evaluation, retrieval, orchestration, privacy, decisions, boundaries, and supervision.",https://docs.kujolang.ai/ecosystem/primitives/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/ecosystem/providers/,Providers | Kujo Docs,21,no,"Choose and install a Kujo provider package, then move from a first request to native features.",94,no,Providers,1,https://docs.kujolang.ai/ecosystem/providers/,en,Providers,"Choose and install a Kujo provider package, then move from a first request to native features.",https://docs.kujolang.ai/ecosystem/providers/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/ecosystem/showcases/,Showcase Directory | Kujo Docs,30,no,Proof applications demonstrating complete local workflows and product surfaces.,79,no,Showcase Directory,1,https://docs.kujolang.ai/ecosystem/showcases/,en,Showcase Directory,Proof applications demonstrating complete local workflows and product surfaces.,https://docs.kujolang.ai/ecosystem/showcases/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/ecosystem/tooling/,Tooling | Kujo Docs,19,no,"Supporting tools for execution, evidence, web operations, editorial production, review, and release gates.",106,no,Tooling,1,https://docs.kujolang.ai/ecosystem/tooling/,en,Tooling,"Supporting tools for execution, evidence, web operations, editorial production, review, and release gates.",https://docs.kujolang.ai/ecosystem/tooling/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/install/,Install Kujo | Kujo Docs,24,no,"Install Kujo v1.1.0 and the tool group you need, or build the CLI from source.",78,no,Install Kujo,1,https://docs.kujolang.ai/install/,en,Install Kujo,"Install Kujo v1.1.0 and the tool group you need, or build the CLI from source.",https://docs.kujolang.ai/install/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/learn/ai-runtime/,AI runtime basics | Kujo Docs,29,no,"See the shared controls for provider calls, replay, budgets, secrets, and egress.",81,no,AI runtime basics,1,https://docs.kujolang.ai/learn/ai-runtime/,en,AI runtime basics,"See the shared controls for provider calls, replay, budgets, secrets, and egress.",https://docs.kujolang.ai/learn/ai-runtime/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/learn/capabilities/,Capabilities and safe execution | Kujo Docs,43,no,"Grant only the filesystem, clock, network, or process access a local task actually needs.",89,no,Capabilities and safe execution,1,https://docs.kujolang.ai/learn/capabilities/,en,Capabilities and safe execution,"Grant only the filesystem, clock, network, or process access a local task actually needs.",https://docs.kujolang.ai/learn/capabilities/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/learn/editor-support/,Editor and CLI support | Kujo Docs,34,no,"Use the CLI, LSP, and editor adapters to keep feedback close to the file you are editing.",89,no,Editor and CLI support,1,https://docs.kujolang.ai/learn/editor-support/,en,Editor and CLI support,"Use the CLI, LSP, and editor adapters to keep feedback close to the file you are editing.",https://docs.kujolang.ai/learn/editor-support/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/learn/,Learn | Kujo Docs,17,no,"Learn Kujo syntax, runtime behavior, packages, capabilities, AI, and editor support.",84,no,Learn Kujo,1,https://docs.kujolang.ai/learn/,en,Learn,"Learn Kujo syntax, runtime behavior, packages, capabilities, AI, and editor support.",https://docs.kujolang.ai/learn/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/learn/language-basics/,Language basics | Kujo Docs,27,no,Learn the small set of Kujo syntax and program shapes needed to read a real file.,81,no,Language basics,1,https://docs.kujolang.ai/learn/language-basics/,en,Language basics,Learn the small set of Kujo syntax and program shapes needed to read a real file.,https://docs.kujolang.ai/learn/language-basics/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/learn/packages/,Packages with Kennel | Kujo Docs,32,no,"Keep manifests, lockfiles, source policy, and trust decisions deterministic.",76,no,Packages with Kennel,1,https://docs.kujolang.ai/learn/packages/,en,Packages with Kennel,"Keep manifests, lockfiles, source policy, and trust decisions deterministic.",https://docs.kujolang.ai/learn/packages/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/learn/runtime/,How the runtime works | Kujo Docs,33,no,"Understand the VM-first execution path, interpreter fallback, and the role of the CLI.",86,no,How the runtime works,1,https://docs.kujolang.ai/learn/runtime/,en,How the runtime works,"Understand the VM-first execution path, interpreter fallback, and the role of the CLI.",https://docs.kujolang.ai/learn/runtime/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/quickstart/,Quickstart | Kujo Docs,22,no,"Create one Kujo file, run it with the VM-first runtime, and check the source.",77,no,Quickstart,1,https://docs.kujolang.ai/quickstart/,en,Quickstart,"Create one Kujo file, run it with the VM-first runtime, and check the source.",https://docs.kujolang.ai/quickstart/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/reference/,Reference | Kujo Docs,21,no,"Find CLI, language, standard-library, configuration, and generated source reference surfaces.",93,no,Reference,1,https://docs.kujolang.ai/reference/,en,Reference,"Find CLI, language, standard-library, configuration, and generated source reference surfaces.",https://docs.kujolang.ai/reference/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/release-boundaries/,Release boundaries | Kujo Docs,30,no,"Read the difference between release-ready within scope, preview, dogfood, and technical showcase.",97,no,Release boundaries,1,https://docs.kujolang.ai/release-boundaries/,en,Release boundaries,"Read the difference between release-ready within scope, preview, dogfood, and technical showcase.",https://docs.kujolang.ai/release-boundaries/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/review/browser-architecture-and-privacy/,"Browser, architecture, and privacy checks | Kujo Docs",53,no,"Keep browser evidence, dependency boundaries, and redaction in the same release conversation.",93,no,"Browser, architecture, and privacy checks",1,https://docs.kujolang.ai/review/browser-architecture-and-privacy/,en,"Browser, architecture, and privacy checks","Keep browser evidence, dependency boundaries, and redaction in the same release conversation.",https://docs.kujolang.ai/review/browser-architecture-and-privacy/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/review/context-and-task-contracts/,Context and task contracts | Kujo Docs,38,no,"Turn an open-ended request into a structured contract with scope, acceptance, and evidence.",91,no,Context and task contracts,1,https://docs.kujolang.ai/review/context-and-task-contracts/,en,Context and task contracts,"Turn an open-ended request into a structured contract with scope, acceptance, and evidence.",https://docs.kujolang.ai/review/context-and-task-contracts/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/review/evidence-and-run-history/,Evidence and run history | Kujo Docs,36,no,"Preserve the receipt, failure bundle, usage, and handoff that explain what happened.",84,no,Evidence and run history,1,https://docs.kujolang.ai/review/evidence-and-run-history/,en,Evidence and run history,"Preserve the receipt, failure bundle, usage, and handoff that explain what happened.",https://docs.kujolang.ai/review/evidence-and-run-history/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/review/,Review | Kujo Docs,18,no,"Review Kujo tests, evidence, architecture, privacy, and release gates.",70,no,Keep work reviewable,1,https://docs.kujolang.ai/review/,en,Review,"Review Kujo tests, evidence, architecture, privacy, and release gates.",https://docs.kujolang.ai/review/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/review/quality-and-release-gates/,Quality and release gates | Kujo Docs,37,no,"Check drift, boundaries, release readiness, browser behavior, and sensitive values before shipping.",99,no,Quality and release gates,1,https://docs.kujolang.ai/review/quality-and-release-gates/,en,Quality and release gates,"Check drift, boundaries, release readiness, browser behavior, and sensitive values before shipping.",https://docs.kujolang.ai/review/quality-and-release-gates/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/review/tests-and-evaluation/,Tests and evaluation | Kujo Docs,32,no,Run deterministic acceptance checks locally or in CI and keep the expected result explicit.,91,no,Tests and evaluation,1,https://docs.kujolang.ai/review/tests-and-evaluation/,en,Tests and evaluation,Run deterministic acceptance checks locally or in CI and keep the expected result explicit.,https://docs.kujolang.ai/review/tests-and-evaluation/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/security/,Security model | Kujo Docs,26,no,"Understand capability gates, local boundaries, secrets, network access, and safe execution wording.",99,no,Security model,1,https://docs.kujolang.ai/security/,en,Security model,"Understand capability gates, local boundaries, secrets, network access, and safe execution wording.",https://docs.kujolang.ai/security/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/showcases/ai-chat/,AI Chat | Kujo Docs,19,no,"A local multi-provider chat application with encrypted profiles, streaming, transcription, and fixture mode.",108,no,AI Chat,1,https://docs.kujolang.ai/showcases/ai-chat/,en,AI Chat,"A local multi-provider chat application with encrypted profiles, streaming, transcription, and fixture mode.",https://docs.kujolang.ai/showcases/ai-chat/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/showcases/cinch/,Cinch | Kujo Docs,17,no,"A local development harness for files, Git, commands, AI context, tools, and proof.",83,no,Cinch,1,https://docs.kujolang.ai/showcases/cinch/,en,Cinch,"A local development harness for files, Git, commands, AI context, tools, and proof.",https://docs.kujolang.ai/showcases/cinch/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/showcases/cms/,CMS | Kujo Docs,15,no,"A framework-neutral content backend with first-class administration, extensions, SEO, identity, AI abilities, MCP, and WebMCP.",126,no,CMS,1,https://docs.kujolang.ai/showcases/cms/,en,CMS,"A framework-neutral content backend with first-class administration, extensions, SEO, identity, AI abilities, MCP, and WebMCP.",https://docs.kujolang.ai/showcases/cms/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/showcases/crud-api/,CRUD API Showcase | Kujo Docs,29,no,"A SQLite API and frontend playground showing auth strategies, recovery patterns, and contracts.",95,no,CRUD API Showcase,1,https://docs.kujolang.ai/showcases/crud-api/,en,CRUD API Showcase,"A SQLite API and frontend playground showing auth strategies, recovery patterns, and contracts.",https://docs.kujolang.ai/showcases/crud-api/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/showcases/,Showcases | Kujo Docs,21,no,Explore complete Kujo applications and local-first workflow demonstrations.,75,no,Showcases,1,https://docs.kujolang.ai/showcases/,en,Showcases,Explore complete Kujo applications and local-first workflow demonstrations.,https://docs.kujolang.ai/showcases/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/showcases/intake/,Intake | Kujo Docs,18,no,"Normalize inbound work, route it through policy, and require approval before external effects.",94,no,Intake,1,https://docs.kujolang.ai/showcases/intake/,en,Intake,"Normalize inbound work, route it through policy, and require approval before external effects.",https://docs.kujolang.ai/showcases/intake/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/showcases/ssg/,SSG | Kujo Docs,15,no,"Deterministic Markdown-to-site publishing with templates, feeds, sitemap, and llms.txt.",87,no,SSG,1,https://docs.kujolang.ai/showcases/ssg/,en,SSG,"Deterministic Markdown-to-site publishing with templates, feeds, sitemap, and llms.txt.",https://docs.kujolang.ai/showcases/ssg/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/showcases/totalrecall/,TotalRecall | Kujo Docs,23,no,"A local-first ingestion showcase for meetings, chat exports, Slack threads, and GitHub activity.",96,no,TotalRecall,1,https://docs.kujolang.ai/showcases/totalrecall/,en,TotalRecall,"A local-first ingestion showcase for meetings, chat exports, Slack threads, and GitHub activity.",https://docs.kujolang.ai/showcases/totalrecall/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/start-here/,Start here | Kujo Docs,22,no,Choose the shortest path from discovering Kujo to running a program or repository-owned agent.,94,no,Start here,1,https://docs.kujolang.ai/start-here/,en,Start here,Choose the shortest path from discovering Kujo to running a program or repository-owned agent.,https://docs.kujolang.ai/start-here/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/support/,Support | Kujo Docs,19,no,"Find the right place to ask for help, report a problem, or verify a local failure.",82,no,Support,1,https://docs.kujolang.ai/support/,en,Support,"Find the right place to ask for help, report a problem, or verify a local failure.",https://docs.kujolang.ai/support/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/tools/ability/,Ability | Kujo Docs,19,no,"Define portable operation contracts, validate cross-language digests, verify signed packs offline, and test approvals with a local fixture kit.",143,no,Ability,1,https://docs.kujolang.ai/tools/ability/,en,Ability,"Define portable operation contracts, validate cross-language digests, verify signed packs offline, and test approvals with a local fixture kit.",https://docs.kujolang.ai/tools/ability/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/tools/agents-sdk/,Agents SDK | Kujo Docs,22,no,"Build agents with tools, approvals, handoffs, tracing, stores, and budgets.",75,no,Agents SDK,1,https://docs.kujolang.ai/tools/agents-sdk/,en,Agents SDK,"Build agents with tools, approvals, handoffs, tracing, stores, and budgets.",https://docs.kujolang.ai/tools/agents-sdk/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/tools/ai-sdk/,AI SDK | Kujo Docs,18,no,"Use normalized chat and embedding contracts with fixtures, retries, and redaction.",82,no,AI SDK,1,https://docs.kujolang.ai/tools/ai-sdk/,en,AI SDK,"Use normalized chat and embedding contracts with fixtures, retries, and redaction.",https://docs.kujolang.ai/tools/ai-sdk/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/tools/assetworks/,AssetWorks | Kujo Docs,22,no,"Plan media assets and preserve provenance, accessibility records, and checksums.",80,no,AssetWorks,1,https://docs.kujolang.ai/tools/assetworks/,en,AssetWorks,"Plan media assets and preserve provenance, accessibility records, and checksums.",https://docs.kujolang.ai/tools/assetworks/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/tools/bluepencil/,BluePencil | Kujo Docs,22,no,"Record structured editorial reviews, verdicts, disagreements, and calibration evidence.",87,no,BluePencil,1,https://docs.kujolang.ai/tools/bluepencil/,en,BluePencil,"Record structured editorial reviews, verdicts, disagreements, and calibration evidence.",https://docs.kujolang.ai/tools/bluepencil/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/tools/casefile/,CaseFile | Kujo Docs,20,no,Capture a failure as a reproducible evidence bundle.,52,no,CaseFile,1,https://docs.kujolang.ai/tools/casefile/,en,CaseFile,Capture a failure as a reproducible evidence bundle.,https://docs.kujolang.ai/tools/casefile/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/tools/changebucket/,ChangeBucket | Kujo Docs,24,no,"Measure change footprint, categories, and blast radius.",55,no,ChangeBucket,1,https://docs.kujolang.ai/tools/changebucket/,en,ChangeBucket,"Measure change footprint, categories, and blast radius.",https://docs.kujolang.ai/tools/changebucket/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/tools/commerce/,Commerce | Kujo Docs,20,no,Add provider-agnostic catalog and checkout contracts to Kujo static sites.,74,no,Commerce,1,https://docs.kujolang.ai/tools/commerce/,en,Commerce,Add provider-agnostic catalog and checkout contracts to Kujo static sites.,https://docs.kujolang.ai/tools/commerce/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/tools/concord/,Concord | Kujo Docs,19,no,"Find drift across code, docs, examples, specs, and generated artifacts.",71,no,Concord,1,https://docs.kujolang.ai/tools/concord/,en,Concord,"Find drift across code, docs, examples, specs, and generated artifacts.",https://docs.kujolang.ai/tools/concord/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/tools/contentgraph/,ContentGraph | Kujo Docs,24,no,"Build an inspectable graph of content relationships, clusters, gaps, and link opportunities.",92,no,ContentGraph,1,https://docs.kujolang.ai/tools/contentgraph/,en,ContentGraph,"Build an inspectable graph of content relationships, clusters, gaps, and link opportunities.",https://docs.kujolang.ai/tools/contentgraph/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
