phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://docs.kujolang.ai/review/tests-and-evaluation/,Tests and evaluation | Kujo Docs,Tests and evaluation,developer task / reference,Tests and evaluation,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/security/,Security model | Kujo Docs,Security model,developer task / reference,Security model,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/showcases/ai-chat/,AI Chat | Kujo Docs,AI Chat,developer task / reference,AI Chat,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/showcases/cinch/,Cinch | Kujo Docs,Cinch,developer task / reference,Cinch,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/showcases/cms/,CMS | Kujo Docs,CMS,developer task / reference,CMS,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/showcases/crud-api/,CRUD API Showcase | Kujo Docs,CRUD API Showcase,developer task / reference,CRUD API Showcase,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/showcases/,Showcases | Kujo Docs,Showcases,developer task / reference,Showcases,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/showcases/intake/,Intake | Kujo Docs,Intake,developer task / reference,Intake,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/showcases/ssg/,SSG | Kujo Docs,SSG,developer task / reference,SSG,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/showcases/totalrecall/,TotalRecall | Kujo Docs,TotalRecall,developer task / reference,TotalRecall,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/start-here/,Start here | Kujo Docs,Start here,developer task / reference,Start here,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/support/,Support | Kujo Docs,Support,developer task / reference,Support,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/ability/,Ability | Kujo Docs,Ability,developer task / reference,Ability,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/agents-sdk/,Agents SDK | Kujo Docs,Agents SDK,developer task / reference,Agents SDK,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/ai-sdk/,AI SDK | Kujo Docs,AI SDK,developer task / reference,AI SDK,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/assetworks/,AssetWorks | Kujo Docs,AssetWorks,developer task / reference,AssetWorks,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/bluepencil/,BluePencil | Kujo Docs,BluePencil,developer task / reference,BluePencil,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/casefile/,CaseFile | Kujo Docs,CaseFile,developer task / reference,CaseFile,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/changebucket/,ChangeBucket | Kujo Docs,ChangeBucket,developer task / reference,ChangeBucket,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/commerce/,Commerce | Kujo Docs,Commerce,developer task / reference,Commerce,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/concord/,Concord | Kujo Docs,Concord,developer task / reference,Concord,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/contentgraph/,ContentGraph | Kujo Docs,ContentGraph,developer task / reference,ContentGraph,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/dispatch/,Dispatch | Kujo Docs,Dispatch,developer task / reference,Dispatch,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/dossier/,Dossier | Kujo Docs,Dossier,developer task / reference,Dossier,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/eval/,Eval | Kujo Docs,Eval,developer task / reference,Eval,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/fence/,Fence | Kujo Docs,Fence,developer task / reference,Fence,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/galleypack/,GalleyPack | Kujo Docs,GalleyPack,developer task / reference,GalleyPack,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/howl/,Howl | Kujo Docs,Howl,developer task / reference,Howl,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/,Tools | Kujo Docs,Tools,developer task / reference,Tools,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/kennel/,Kennel | Kujo Docs,Kennel,developer task / reference,Kennel,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/kujo/,Kujo | Kujo Docs,Kujo,developer task / reference,Kujo,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/leash/,Leash | Kujo Docs,Leash,developer task / reference,Leash,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/lens/,Lens | Kujo Docs,Lens,developer task / reference,Lens,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/mcp/,MCP | Kujo Docs,MCP,developer task / reference,MCP,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/muzzle/,Muzzle | Kujo Docs,Muzzle,developer task / reference,Muzzle,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/packwrite/,PackWrite | Kujo Docs,PackWrite,developer task / reference,PackWrite,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/paperclip/,Kujo for Paperclip | Kujo Docs,Kujo for Paperclip,developer task / reference,Kujo for Paperclip,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/patchbrief/,PatchBrief | Kujo Docs,PatchBrief,developer task / reference,PatchBrief,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/presswire/,PressWire | Kujo Docs,PressWire,developer task / reference,PressWire,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/rag/,RAG | Kujo Docs,RAG,developer task / reference,RAG,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/readersignal/,ReaderSignal | Kujo Docs,ReaderSignal,developer task / reference,ReaderSignal,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/redact/,Redact | Kujo Docs,Redact,developer task / reference,Redact,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/relay/,Relay | Kujo Docs,Relay,developer task / reference,Relay,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/runledger/,RunLedger | Kujo Docs,RunLedger,developer task / reference,RunLedger,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/scent/,Scent | Kujo Docs,Scent,developer task / reference,Scent,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/scout/,Scout | Kujo Docs,Scout,developer task / reference,Scout,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/searchbridge/,SearchBridge | Kujo Docs,SearchBridge,developer task / reference,SearchBridge,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/shipcheck/,ShipCheck | Kujo Docs,ShipCheck,developer task / reference,ShipCheck,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/site-kit/,SiteKit | Kujo Docs,SiteKit,developer task / reference,SiteKit,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/siteprobe/,SiteProbe | Kujo Docs,SiteProbe,developer task / reference,SiteProbe,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/source/,Source | Kujo Docs,Source,developer task / reference,Source,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/spec/,Spec | Kujo Docs,Spec,developer task / reference,Spec,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/storydesk/,StoryDesk | Kujo Docs,StoryDesk,developer task / reference,StoryDesk,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/tribunal/,Tribunal | Kujo Docs,Tribunal,developer task / reference,Tribunal,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/versionseal/,VersionSeal | Kujo Docs,VersionSeal,developer task / reference,VersionSeal,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/ward/,Ward | Kujo Docs,Ward,developer task / reference,Ward,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/watchdog/,Watchdog | Kujo Docs,Watchdog,developer task / reference,Watchdog,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/tools/workcell/,Workcell | Kujo Docs,Workcell,developer task / reference,Workcell,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
